# event;subevent;status;phid;time;geo;pos dist; time dist;speed;user0
FA-F827EC20-3436-4F8F-8D76-661294A3877F;OLTZRZOK88;owner;B3D3FA52-417D-4D76-822D-F325DEDF148C/L0/001;04/07/2014 12:36:40;30.38751 59.70247;0.01888;1.07556;0.01756;True
FA-F827EC20-3436-4F8F-8D76-661294A3877F;BD2VIGE4WR;owner;6345545E-AFFB-4910-B207-55B143F93AB8/L0/001;04/07/2014 13:41:12;30.3876  59.70263;0.01593;0.03333;0.19117;True
FA-F827EC20-3436-4F8F-8D76-661294A3877F;BD2VIGE4WR;owner;73C26014-4AAE-4102-A3F5-3E928A6812A3/L0/001;04/07/2014 13:43:12;30.38779 59.70253;0.00530;0.25778;0.02057;True
FA-F827EC20-3436-4F8F-8D76-661294A3877F;BD2VIGE4WR;owner;99596FF5-C91D-4E4F-9BD5-4AABFC15A62D/L0/001;04/07/2014 13:58:40;30.38771 59.7025 ;0.01464;0.71944;0.02035;True
FA-F827EC20-3436-4F8F-8D76-661294A3877F;BD2VIGE4WR;owner;CCE18279-A0FF-44F8-96A5-EF3395D3FBFA/L0/001;04/07/2014 14:41:50;30.38746 59.70255;0.00586;0.00222;0.07034;True
FA-F827EC20-3436-4F8F-8D76-661294A3877F;BD2VIGE4WR;owner;EC0067D9-AD49-4BD8-A937-B1CD506A8819/L0/001;04/07/2014 14:41:58;30.38755 59.70252;0.00747;0.00389;0.08965;True
FA-F827EC20-3436-4F8F-8D76-661294A3877F;BD2VIGE4WR;owner;DF40739C-5422-4659-8237-23A0936B2B32/L0/001;04/07/2014 14:42:12;30.3875  59.70246;0.00793;1.00444;0.00789;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;W94DPTCFBL;equal;62EEC030-B8B5-45B0-8E1F-D448CFEAA7CA/L0/001;04/01/2018 10:41:29;30.08658 60.17659;5.48040;0.00139;65.76480;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;W94DPTCFBL;equal;5020DCFA-E7FD-4089-A064-BB5CB46F7887/L0/001;04/01/2018 10:41:34;30.03656 60.21919;0.00000;0.00000;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;W94DPTCFBL;equal;852B6434-1083-4A3B-BF56-961BD526D9F2/L0/001;04/01/2018 10:41:34;30.03656 60.21919;0.00865;0.00417;0.10377;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;W94DPTCFBL;equal;5AC8AF85-273E-4B15-BE8C-B0D20D4A178C/L0/001;04/01/2018 10:41:49;30.0365  60.21926;0.00000;0.00000;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;W94DPTCFBL;equal;C135A4A9-57D1-4554-936F-F1A355A6168C/L0/001;04/01/2018 10:41:49;30.0365  60.21926;0.00000;0.00000;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;W94DPTCFBL;equal;D32130DD-2935-4B7B-AB5E-D499CADB46A2/L0/001;04/01/2018 10:41:49;30.0365  60.21926;0.00000;0.00083;0.00000;True
FA-BC81D032-3A8E-4F3E-9919-47976482030C;W94DPTCFBL;equal;9EA44837-AD92-47D3-8254-6C7C48524DEA/L0/001;04/01/2018 10:41:52;30.0365  60.21926;0.00000;0.00000;0.00000;True
